#separator:tab
#html:false
#notetype:Basic
#deck:GRE Math
#tags column:3
State the precise (ε–δ) definition of lim_{x→a} f(x) = L.	For every ε > 0 there exists δ > 0 such that if 0 < |x − a| < δ then |f(x) − L| < ε.	topic::calculus
When is f continuous at x = a?	f is continuous at a if f(a) is defined, lim_{x→a} f(x) exists, and lim_{x→a} f(x) = f(a).	topic::calculus
Evaluate lim_{x→0} (sin x)/x.	1	topic::calculus
State the limit definition of the derivative f'(x).	f'(x) = lim_{h→0} [f(x+h) − f(x)]/h.	topic::calculus
Product rule: d/dx[f(x)g(x)] = ?	f'(x)g(x) + f(x)g'(x)	topic::calculus
Quotient rule: d/dx[f(x)/g(x)] = ?	[f'(x)g(x) − f(x)g'(x)] / g(x)^2	topic::calculus
Chain rule: d/dx[f(g(x))] = ?	f'(g(x)) · g'(x)	topic::calculus
d/dx[tan x] = ?	sec^2 x	topic::calculus
d/dx[ln x] = ?	1/x	topic::calculus
d/dx[e^x] = ?	e^x	topic::calculus
d/dx[arctan x] = ?	1/(1 + x^2)	topic::calculus
d/dx[arcsin x] = ?	1/√(1 − x^2)	topic::calculus
State the Fundamental Theorem of Calculus (Part 1).	If f is continuous on [a,b] and F(x) = ∫_a^x f(t) dt, then F'(x) = f(x).	topic::calculus
State the Fundamental Theorem of Calculus (Part 2, evaluation).	If f is continuous on [a,b] and F is any antiderivative of f, then ∫_a^b f(x) dx = F(b) − F(a).	topic::calculus
Integration by parts formula: ∫ u dv = ?	uv − ∫ v du	topic::calculus
∫ 1/x dx = ?	ln|x| + C	topic::calculus
∫ sec^2 x dx = ?	tan x + C	topic::calculus
∫ 1/(1 + x^2) dx = ?	arctan x + C	topic::calculus
∫ e^x dx = ?	e^x + C	topic::calculus
Evaluate ∫ x e^x dx.	x e^x − e^x + C	topic::calculus
Sum of a convergent geometric series Σ_{n=0}^∞ a r^n (|r| < 1) = ?	a/(1 − r)	topic::calculus
For which p does the p-series Σ_{n=1}^∞ 1/n^p converge?	It converges if and only if p > 1.	topic::calculus
State the Ratio Test conclusion using L = lim_{n→∞} |a_{n+1}/a_n|.	If L < 1 the series converges absolutely; if L > 1 (or ∞) it diverges; if L = 1 the test is inconclusive.	topic::calculus
State the Alternating Series Test.	Σ (−1)^n b_n converges if b_n > 0, b_n is decreasing, and lim_{n→∞} b_n = 0.	topic::calculus
Maclaurin series of e^x = ?	Σ_{n=0}^∞ x^n/n! = 1 + x + x^2/2! + x^3/3! + ...	topic::calculus
Maclaurin series of sin x = ?	Σ_{n=0}^∞ (−1)^n x^(2n+1)/(2n+1)! = x − x^3/3! + x^5/5! − ...	topic::calculus
Maclaurin series of cos x = ?	Σ_{n=0}^∞ (−1)^n x^(2n)/(2n)! = 1 − x^2/2! + x^4/4! − ...	topic::calculus
Power series of 1/(1 − x) for |x| < 1 = ?	Σ_{n=0}^∞ x^n = 1 + x + x^2 + x^3 + ...	topic::calculus
Define the gradient ∇f of a scalar function f(x,y,z).	∇f = (∂f/∂x, ∂f/∂y, ∂f/∂z), the vector of first partial derivatives.	topic::calculus
For z = f(x,y) with x = x(t), y = y(t), the chain rule gives dz/dt = ?	dz/dt = (∂f/∂x)(dx/dt) + (∂f/∂y)(dy/dt)	topic::calculus
Give the area element dA for a double integral in polar coordinates.	dA = r dr dθ	topic::calculus
State the Jacobian volume element for spherical coordinates (ρ, φ, θ).	dV = ρ^2 sin φ dρ dφ dθ	topic::calculus
State Green's Theorem.	∮_C (P dx + Q dy) = ∬_D (∂Q/∂x − ∂P/∂y) dA, where C is the positively oriented boundary of region D.	topic::calculus
State the Divergence Theorem.	∬_S F · dS = ∭_V (∇ · F) dV, where S is the closed boundary surface of solid region V.	topic::calculus
State Stokes' Theorem.	∮_C F · dr = ∬_S (∇ × F) · dS, where C is the boundary of surface S with compatible orientation.	topic::calculus
Give the arc length of y = f(x) from x = a to x = b.	L = ∫_a^b √(1 + (f'(x))^2) dx	topic::calculus
Volume of revolution about the x-axis (disk method) for y = f(x), a ≤ x ≤ b = ?	V = π ∫_a^b (f(x))^2 dx	topic::calculus
Solve the separable ODE dy/dx = k y.	y = C e^(k x)	topic::calculus
